"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"Serie A","M","ITA",2019,"Atalanta","team","3","19","10","5","4","36","19","+17","35","1.84","36.9","14.4","+22.5","+1.18","19","10","4","5","41","27","+14","34","1.79","35.3","26.7","+8.6","+0.45"
"Serie A","M","ITA",2019,"Bologna","team","10","19","9","4","6","28","22","+6","31","1.63","24.9","20.6","+4.3","+0.23","19","2","7","10","20","34","-14","13","0.68","21.9","28.4","-6.5","-0.34"
"Serie A","M","ITA",2019,"Cagliari","team","15","19","8","6","5","23","20","+3","30","1.58","26.3","24.5","+1.9","+0.10","19","2","5","12","13","34","-21","11","0.58","15.8","37.7","-21.9","-1.15"
"Serie A","M","ITA",2019,"Chievo","team","20","19","1","7","11","14","37","-23","10","0.53","18.3","26.2","-7.9","-0.42","19","1","7","11","11","38","-27","10","0.53","17.8","34.1","-16.4","-0.86"
"Serie A","M","ITA",2019,"Empoli","team","18","19","9","3","7","33","30","+3","30","1.58","31.4","31.9","-0.5","-0.03","19","1","5","13","18","40","-22","8","0.42","21.0","31.7","-10.7","-0.56"
"Serie A","M","ITA",2019,"Fiorentina","team","16","19","5","9","5","25","19","+6","24","1.26","27.2","18.8","+8.4","+0.44","19","3","8","8","22","26","-4","17","0.89","26.8","22.1","+4.7","+0.25"
"Serie A","M","ITA",2019,"Frosinone","team","19","19","1","6","12","14","38","-24","9","0.47","21.7","31.8","-10.1","-0.53","19","4","4","11","15","31","-16","16","0.84","17.2","30.2","-12.9","-0.68"
"Serie A","M","ITA",2019,"Genoa","team","17","19","6","8","5","21","22","-1","26","1.37","25.3","21.3","+4.0","+0.21","19","2","6","11","18","35","-17","12","0.63","21.6","32.0","-10.4","-0.55"
"Serie A","M","ITA",2019,"Inter","team","4","19","11","5","3","27","10","+17","38","2.00","30.5","15.0","+15.5","+0.82","19","9","4","6","30","23","+7","31","1.63","33.3","23.3","+10.1","+0.53"
"Serie A","M","ITA",2019,"Juventus","team","1","19","15","4","0","39","13","+26","49","2.58","33.6","16.0","+17.5","+0.92","19","13","2","4","31","17","+14","41","2.16","27.2","19.8","+7.4","+0.39"
"Serie A","M","ITA",2019,"Lazio","team","8","19","9","5","5","36","25","+11","32","1.68","36.0","23.1","+13.0","+0.68","19","8","3","8","20","21","-1","27","1.42","24.4","23.9","+0.5","+0.02"
"Serie A","M","ITA",2019,"Milan","team","5","19","12","4","3","31","17","+14","40","2.11","29.1","20.0","+9.1","+0.48","19","7","7","5","24","19","+5","28","1.47","19.7","21.2","-1.5","-0.08"
"Serie A","M","ITA",2019,"Napoli","team","2","19","13","4","2","41","16","+25","43","2.26","34.3","15.3","+19.0","+1.00","19","11","3","5","33","20","+13","36","1.89","27.5","23.0","+4.5","+0.24"
"Serie A","M","ITA",2019,"Parma","team","14","19","5","7","7","18","25","-7","22","1.16","22.8","30.2","-7.4","-0.39","19","5","4","10","23","36","-13","19","1.00","17.4","35.1","-17.7","-0.93"
"Serie A","M","ITA",2019,"Roma","team","6","19","12","5","2","43","26","+17","41","2.16","38.5","23.4","+15.2","+0.80","19","6","7","6","23","22","+1","25","1.32","25.8","28.8","-3.0","-0.16"
"Serie A","M","ITA",2019,"SPAL","team","13","19","5","7","7","20","26","-6","22","1.16","23.7","23.1","+0.6","+0.03","19","6","2","11","24","30","-6","20","1.05","20.2","28.2","-8.0","-0.42"
"Serie A","M","ITA",2019,"Sampdoria","team","9","19","10","2","7","28","16","+12","32","1.68","27.3","21.4","+5.9","+0.31","19","5","6","8","32","35","-3","21","1.11","23.1","33.6","-10.5","-0.55"
"Serie A","M","ITA",2019,"Sassuolo","team","11","19","5","10","4","33","33","0","25","1.32","28.8","25.4","+3.4","+0.18","19","4","6","9","20","27","-7","18","0.95","19.7","32.0","-12.3","-0.65"
"Serie A","M","ITA",2019,"Torino","team","7","19","12","2","5","32","19","+13","38","2.00","28.5","22.6","+5.9","+0.31","19","4","13","2","20","18","+2","25","1.32","18.1","25.2","-7.0","-0.37"
"Serie A","M","ITA",2019,"Udinese","team","12","19","8","5","6","22","22","0","29","1.53","23.9","27.4","-3.5","-0.18","19","3","5","11","17","31","-14","14","0.74","18.6","32.3","-13.7","-0.72"
